"ArtistLocation","Split Value 1","Split Value 2","Split Value 3","Split Value 4","Split Value 5","Split Value 6","Split Value 7","Split Value 8","Split Value 9","Split Value 10","Split Value 11","Split Value 12","Split Value 13","Split Value 14","Split Value 15","Split Value 16","Split Value 17","Split Value 18","Split Value 19","Split Value 20","Split Value 21","Split Value 22","Split Value 23","Split Value 24","Split Value 25","Split Value 26","Split Value 27","Split Value 28","Split Value 29","Split Value 30","Split Value 31","Split Value 32","Split Value 33","Split Value 34","Split Value 35","Split Value 36","Split Value 37","Split Value 38","Split Value 39","Split Value 40","Split Value 41","Split Value 42"
"Seattle Washington","post-hardcore","alternative","rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle Washington USA","jazz","american","adult","contemporary","smooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seymour IN","roots","rock","american","pop","heartland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelby North Carolina","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shreveport LA","rock","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sledge MS","country","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina","post-hardcore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Jamaica Queens","american","hip-hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Speedball","uk","punk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Louis MO","latin","jazz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Staunton VA","country","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stockholm","sverige",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweden","melodic","death","metal","swedish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Switzerland","folk","metal","swiss","melodic","death","celtic","gaulish","lyrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sydney Australia","alternative","rock","australian","post-grunge","house","dance","electronic","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syracuse NY","american","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"S� France","french","singer","guitarist","guitariste","chanteur","france","francophone","songwriter","parolier","compositeur","composer","lyricist","chanson","française","français",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Talladega AL","world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tennessee","filk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Teoc MS","american","folk","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas","production","music","american","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomson GA","prewar","blues","acoustic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timişoara","black","metal","atmospheric","romanian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timmins Ontario Canada","canadian","country","country-rock","rock","pop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tioga Springs TX","country","western","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toronto","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toronto Canada","canadian","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toronto Ontario Canada","canadian","country","rock","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toyohashi Japan","new","age","japanese","instrumental","japan","ambient","electronic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trenton NJ","christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tulsa Oklahoma","american","idol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK - England - South East","trance","christian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK - England - South West","massachusetts","american","amherst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United Kingdom","progressive","rock","uk","british","english","blues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Upon A Shamrock Shore/Songs Of Ireland And The Irish","Upon","A","Shamrock","Shore/Songs","Of","Ireland","And","The","Irish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venice CA","punk","thrash","metal","crossover","hardcore","usa","rapcore","american","funk","alternative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vermillion SD","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vernet les Bains","français","french","france","pop","francophone","guitarist","parolier","guitariste","compositeur","composer","chanteur","lyricist","singer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vienna","melodic","death","metal","austria","melodeath","danzer","vienna","in","flames",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vienna Austria","european","austrian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia","new","york","usa","hardcore","punk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Waimanalo HI","folk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington","dutch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington DC","united","states","greek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westbury Long Island NY","hard","rock","instrumental",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Westmoreland Jamaica","reggae","rasta","jamaican",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Willowdale Ontario Canada","canadian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wilmington NC","post-hardcore","southern","rock","american",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyomissing PA","taylor-swift","country",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"allentown Pennsylvania USA","hip","hop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
